,title,genres,production_companies,budget_M
10,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Action,Warner Bros. Pictures,75.0
149,House of Gucci,Drama,other,75.0
42,Don't Look Up,Science Fiction,other,75.0
111,Morbius,Action,Columbia Pictures,75.0
338,The 355,Action,other,75.0
214,Abominable,Family,DreamWorks Animation,75.0
204,Creed III,Drama,other,75.0
135,The Lost City,Action,Paramount,74.0
528,The Equalizer 3,Action,other,70.0
395,Hypnotic,Mystery,other,70.0
208,Hitman's Wife's Bodyguard,Action,other,70.0
115,The Northman,Action,other,70.0
373,"Ruby Gillman, Teenage Kraken",Animation,Universal Pictures,70.0
377,Teenage Mutant Ninja Turtles: Mutant Mayhem,Animation,Paramount,70.0
247,Reminiscence,Mystery,other,68.0
122,Nope,Horror,other,68.0
130,The New Mutants,Science Fiction,20th Century Studios,67.0
249,The Angry Birds Movie 2,Animation,other,65.0
315,Renfield,Comedy,other,65.0
117,The Croods: A New Age,Animation,Universal Pictures,65.0
238,Clifford the Big Red Dog,Family,Paramount,64.0
61,A Quiet Place Part II,Science Fiction,Paramount,61.0
419,A Haunting in Venice,Mystery,20th Century Studios,60.0
364,The Informer,Drama,other,60.0
161,Nightmare Alley,Thriller,other,60.0
168,Cold Pursuit,Action,other,60.0
346,Knights of the Zodiac,Fantasy,other,60.0
371,Gran Turismo,Action,other,60.0
154,The SpongeBob Movie: Sponge on the Run,Family,other,60.0
386,In the Heights,Drama,other,55.0
9,John Wick: Chapter 3 - Parabellum,Action,other,55.0
235,Guy Ritchie's The Covenant,War,other,55.0
1,Joker,Crime,Warner Bros. Pictures,55.0
413,The Rhythm Section,Action,other,50.0
116,Rambo: Last Blood,Action,other,50.0
142,Underwater,Horror,other,50.0
196,King Richard,Drama,other,50.0
25,Encanto,Animation,other,50.0
176,Tom & Jerry,Comedy,other,50.0
305,Operation Fortune: Ruse de Guerre,Action,other,50.0
227,The Woman King,Action,other,50.0
434,"Lyle, Lyle, Crocodile",Comedy,other,50.0
128,Hellboy,Fantasy,other,50.0
216,A Man Called Otto,Comedy,other,50.0
407,The Many Saints of Newark,Crime,Warner Bros. Pictures,50.0
489,Whitney Houston: I Wanna Dance with Somebody,Music,other,50.0
244,Dora and the Lost City of Gold,Adventure,other,49.0
150,Charlie's Angels,Action,Columbia Pictures,48.0
464,Strays,Comedy,Universal Pictures,46.0
365,The Last Voyage of the Demeter,Thriller,other,45.0
454,UglyDolls,Family,other,45.0
533,Paws of Fury: The Legend of Hank,Animation,other,45.0
234,65,Science Fiction,other,45.0
177,Richard Jewell,Drama,Warner Bros. Pictures,45.0
478,Magic Mike's Last Dance,Comedy,Warner Bros. Pictures,45.0
260,No Hard Feelings,Comedy,other,45.0
268,Boss Level,Action,other,45.0
101,Doctor Sleep,Horror,other,45.0
367,Peter Rabbit 2: The Runaway,Family,Columbia Pictures,45.0
326,Blacklight,Action,other,43.0
84,Bloodshot,Action,other,42.0
74,Zombieland: Double Tap,Comedy,other,42.0
452,The Boogeyman,Horror,other,41.9
623,Mafia Mamma,Comedy,other,41.0
382,The King's Daughter,Fantasy,other,40.5
193,The Addams Family,Family,other,40.0
126,Angel Has Fallen,Action,other,40.0
339,See How They Run,Mystery,other,40.0
203,Malignant,Horror,New Line Cinema,40.0
7,Knives Out,Comedy,other,40.0
318,The Aeronauts,Adventure,other,40.0
59,Little Women,Drama,Columbia Pictures,40.0
209,Licorice Pizza,Drama,other,40.0
94,Rocketman,Music,Paramount,40.0
222,The Fabelmans,Drama,Amblin Entertainment,40.0
228,Ambulance,Thriller,Universal Pictures,40.0
88,Glass Onion: A Knives Out Mystery,Comedy,other,40.0
87,Wrath of Man,Crime,other,40.0
68,The Conjuring: The Devil Made Me Do It,Horror,New Line Cinema,39.0
475,The Nun II,Horror,New Line Cinema,38.5
242,News of the World,Drama,other,38.0
525,The Bob's Burgers Movie,Animation,20th Century Studios,38.0
295,The Upside,Comedy,other,37.5
217,Scream VI,Horror,other,35.0
213,Don't Worry Darling,Thriller,other,35.0
148,The Trial of the Chicago 7,Drama,other,35.0
330,TÁR,Drama,other,35.0
418,Beau Is Afraid,Comedy,other,35.0
112,The Menu,Comedy,other,35.0
165,Anna,Thriller,other,34.0
99,Greenland,Action,other,34.0
202,Unhinged,Action,other,33.0
220,21 Bridges,Crime,other,33.0
333,Cry Macho,Drama,other,33.0
254,Cocaine Bear,Thriller,Universal Pictures,32.5
152,Bombshell,Drama,other,32.0
463,She Said,Drama,other,32.0
621,Big George Foreman,Drama,other,32.0
120,Isn't It Romantic,Comedy,New Line Cinema,31.0
245,Shaft,Action,other,30.0
221,Army of Thieves,Action,other,30.0
450,The Tax Collector,Action,other,30.0
113,Love and Monsters,Comedy,other,30.0
251,The Unbearable Weight of Massive Talent,Action,other,30.0
279,Memory,Action,other,30.0
337,Gunpowder Milkshake,Action,other,30.0
125,Annabelle Comes Home,Horror,other,30.0
190,The Little Things,Crime,Warner Bros. Pictures,30.0
192,Last Christmas,Comedy,Universal Pictures,30.0
618,"Are You There God? It's Me, Margaret.",Comedy,other,30.0
432,Spirit Untamed,Animation,Universal Pictures,30.0
392,Playing with Fire,Family,other,29.9
398,Like a Boss,Comedy,other,29.0
513,Dear Evan Hansen,Drama,Universal Pictures,27.5
276,Motherless Brooklyn,Drama,other,26.0
270,Judas and the Black Messiah,Drama,other,26.0
293,PAW Patrol: The Movie,Animation,other,26.0
349,Bill & Ted Face the Music,Comedy,other,25.0
306,Captive State,Science Fiction,Amblin Entertainment,25.0
266,Candyman,Horror,other,25.0
347,Asteroid City,Comedy,other,25.0
304,The Professor and the Madman,History,other,25.0
445,All My Life,Romance,other,25.0
253,Mank,Drama,other,25.0
199,Just Mercy,Drama,other,25.0
223,Plane,Action,other,25.0
255,A Beautiful Day in the Neighborhood,Drama,other,25.0
187,The French Dispatch,Drama,other,25.0
189,Resident Evil: Welcome to Raccoon City,Horror,other,25.0
197,A Rainy Day in New York,Comedy,other,25.0
163,Scary Stories to Tell in the Dark,Horror,other,25.0
72,Everything Everywhere All at Once,Action,other,25.0
153,Scream,Horror,Paramount,24.0
274,Where the Crawdads Sing,Drama,other,24.0
256,The Marksman,Action,other,23.0
408,Jiu Jitsu,Action,other,23.0
344,Marry Me,Romance,Universal Pictures,23.0
316,The Way Back,Drama,Warner Bros. Pictures,23.0
609,Fortress: Sniper's Eye,Action,other,22.0
76,The Gentlemen,Comedy,other,22.0
455,Bros,Comedy,Universal Pictures,22.0
410,Let Him Go,Drama,other,21.0
134,Pet Sematary,Horror,other,21.0
417,The Secret: Dare to Dream,Drama,other,21.0
172,The Hustle,Comedy,other,21.0
491,Capone,Crime,other,20.6
313,Stillwater,Drama,other,20.0
557,Till,Drama,other,20.0
309,Downton Abbey,Drama,other,20.0
500,Fortress,Action,other,20.0
520,Retribution,Action,other,20.0
343,Ticket to Paradise,Comedy,other,20.0
540,Marlowe,Mystery,other,20.0
424,Cosmic Sin,Action,other,20.0
527,Cyrano,Drama,other,20.0
366,Voyagers,Science Fiction,other,20.0
376,Little,Comedy,other,20.0
429,A Madea Family Funeral,Comedy,other,20.0
391,Queen & Slim,Drama,other,20.0
458,The Last Full Measure,Drama,other,20.0
34,Glass,Thriller,Universal Pictures,20.0
